Time,Vx,Vy,Rep,Block,Time,Condition,ID,pos x,pos y
3508.7287,94.64864383222334,79.83063242243873,1,1,124,square_left,1,56.704281039279195,18.804902423917028
3508.7328,93.0976063636092,78.98831650701538,1,1,125,square_left,1,57.0921877324609,19.134020409362925
3508.7367,91.46804572743349,78.06626544403485,1,1,126,square_left,1,57.47330458965854,19.459296515379737
3508.7408,89.7621423915217,77.06591438333504,1,1,127,square_left,1,57.84731351628988,19.780404491976967
3508.7448,87.98115376609417,75.99011862666885,1,1,128,square_left,1,58.21390165698194,20.097029986254753
3508.7487,86.12575776425274,74.8430699250909,1,1,129,square_left,1,58.57275898099966,20.408876110942632
3508.7537,84.19697877849273,73.62940853546604,1,1,130,square_left,1,58.923579725910045,20.71566531317374
3508.7577,82.1965921108,72.35469385453541,1,1,131,square_left,1,59.26606552637171,21.017143204234305
3508.7618,80.1266151031416,71.02656418152691,1,1,132,square_left,1,59.5999264226348,21.313087221657334
3508.7658,77.98927804177083,69.654353070907,1,1,133,square_left,1,59.92488174780885,21.603313692786113
3508.7697,75.78781299891375,68.24805021686842,1,1,134,square_left,1,60.24066430197099,21.88768056868973
3508.7738,73.52711173218268,66.81801482396196,1,1,135,square_left,1,60.54702726752175,22.166088963789573
3508.7788,71.21371671678048,65.37486166808151,1,1,136,square_left,1,60.843751087175,22.438484220739912
3508.7828,68.85521370626634,63.929190075948554,1,1,137,square_left,1,61.13064781095111,22.704855846056365
3508.7868,66.4597536517914,62.49098189638431,1,1,138,square_left,1,61.40756345116691,22.9652349372913
3508.7908,64.03620980346773,61.06856120448839,1,1,139,square_left,1,61.67438099201469,23.219687275643334
3508.7948,61.59436988054779,59.66821090999588,1,1,140,square_left,1,61.931024199850306,23.46830482110165
3508.7988,59.14466894621057,58.29477659982729,1,1,141,square_left,1,62.17746032045952,23.71119972360093
3508.8038,56.69773974875625,56.952162860938245,1,1,142,square_left,1,62.413700902746,23.948500402188174
3508.8078,54.26423259666251,55.6429607625077,1,1,143,square_left,1,62.63980187189876,24.180346072031956
3508.8118,51.854734759508574,54.36796155352198,1,1,144,square_left,1,62.85586326673005,24.40687924517163
3508.8158,49.47903180427943,53.12720999421458,1,1,145,square_left,1,63.06202589924788,24.628242620147525
3508.8198,47.14506214235996,51.92161148538645,1,1,146,square_left,1,63.25846365817438,24.8445826680033
3508.8238,44.85884065579285,50.75255567710684,1,1,147,square_left,1,63.44537549424018,25.056051649991247
3508.8288,42.62509620965318,49.62069318477006,1,1,148,square_left,1,63.6229800617804,25.262804538261122
3508.8328,40.44771757099397,48.52598235816771,1,1,149,square_left,1,63.79151221832621,25.464996131420154
3508.8368,38.330083569802014,47.46816970685643,1,1,150,square_left,1,63.95122089986705,25.66278017186539
3508.8408,36.27477894641629,46.44692835184259,1,1,151,square_left,1,64.10236581214379,25.856309039998067
3508.8448,34.28261889435589,45.46168744443264,1,1,152,square_left,1,64.24521005753694,26.045732737683203
3508.8497,32.35261512919692,44.5109029316788,1,1,153,square_left,1,64.38001262057526,26.231194833231864
3508.8537,30.48329786079762,43.59122267949715,1,1,154,square_left,1,64.50702636166191,26.41282492772977
3508.8578,28.674007334136604,42.69704172968005,1,1,155,square_left,1,64.62650139222082,26.590729268270103
3508.8617,26.925054076727974,41.82098824384724,1,1,156,square_left,1,64.73868911754052,26.7649833859528
3508.8657,25.23681978491709,40.95514642729569,1,1,157,square_left,1,64.843842533311,26.935629829399865
3508.8697,23.609333472305707,40.090969077245404,1,1,158,square_left,1,64.94221475611228,27.102675533888387
3508.8738,22.04290773090179,39.217982527936215,1,1,159,square_left,1,65.03406020499104,27.266083794421455
3508.8788,20.538424870678682,38.323459902853756,1,1,160,square_left,1,65.11963697528553,27.425764877350012
3508.8828,19.097058494030534,37.39282905454644,1,1,161,square_left,1,65.19920805234399,27.581568331743956
3508.8868,17.72007551584352,36.41034043929835,1,1,162,square_left,1,65.27304170032667,27.733278083574366
3508.8907,16.408558888986136,35.36064579171551,1,1,163,square_left,1,65.34141069569745,27.880614107706513
3508.8948,15.163112360330615,34.23013013004919,1,1,164,square_left,1,65.40459033053216,28.023239649915052
3508.8988,13.983573631313675,33.00662892583688,1,1,165,square_left,1,65.46285522066263,28.160767270439372
3508.9038,12.868467522082483,31.679088618979563,1,1,166,square_left,1,65.51647383533798,28.292763473018454
3508.9078,11.814511647353356,30.238987849913883,1,1,167,square_left,1,65.56570096720195,28.418759255726428
3508.9118,10.816810492258355,28.681952234878167,1,1,168,square_left,1,65.61077101091969,28.53826739003842
3508.9158,9.869572638099271,27.007934763254298,1,1,169,square_left,1,65.6518942302451,28.65080045155198
3508.9198,8.966678302853097,25.22051873267401,1,1,170,square_left,1,65.68925538984033,28.755885946271455
3508.9238,8.10205462417457,23.325899308161695,1,1,171,square_left,1,65.72301395077439,28.853077193388796
3508.9288,7.269710031338263,21.333246732958173,1,1,172,square_left,1,65.7533044092383,28.941965721442788
3508.9328,6.463409151087944,19.256867933986825,1,1,173,square_left,1,65.78023528070116,29.022202671167733
3508.9368,5.677361428048471,17.11714663457684,1,1,174,square_left,1,65.80389095331803,29.09352411547847
3508.9408,4.908160462521209,14.939493369510046,1,1,175,square_left,1,65.82434162191187,29.155772004518095
